;cidade;descricao;contato;telefone;endereco;email;site
;SÃO LEOPOLDO - RS;DATWYLER - BINS INDUSTRIA DE ARTEFATOS DE BORRACHA LTDA;Andressa Siméia da Silva Diaz / DANIELE DA ROCHA FAGUNDES;51 - 35115043;;"Andressa.diaz@datwyler.com; daniele.fagundes@datwyler.com";
;UBERABA;BLACK & DECKER DO BRASIL LTDA;TIAGO HENRIQUE DA SILVA PEREIRA;34 - 33183979;;tiago.pereira@sbdinc.com;
;SÃO MARCOS - RS;BORGHETTI - TURBOS E SISTEMAS AUTOMOTIVOS LTDA;ISABELLA BRUGALLI BORGHETTI;54 - 32912207;;"isabella.borghetti@masterpower.com.br; isabella.borghetti@boomatech.com.br";
;NOVA PRATA - RS;BORRACHAS VIPAL S A;BERNARD SERPA CARVALHO / ELOI DA SILVA;51 - 32053502 / 51 - 32053029;;"bernard.carvalho@vipal.com.br; eloi.silva@vipal.com.br";
;PASSO FUNDO - RS;IC USINAGEM INDUSTRIAL - BOSCARDIN E NASCIMENTO LTDA - ME;Fernando Frizon Oliveira;54 - 33273638;;compras@ic.ind.br;
;PANAMBI - RS;BRUNING TECNOMETAL LTDA;DOUGLAS MALHEIROS WINTERFELD;55 - 33769000 ramal 9055;;douglasw@bruning.com.br;
;CASCAVEL;MASCARELLO - CARROCERIAS E ONIBUS LTDA;Jefferson Araújo dos Santos ;45 - 991046273 / 45-32196076;;compras.jefferson@grupomascarello.com.br;
;MACAE;COMERCIAL TROYKA DE ROLAMENTOS E PARAFUSOS LTDA;MARIO JORGE BARQUETA DONNINI DE SOUZA ;22 - 27591969;;troykapraia@troyka.com.br;
;ITAPOA;ITAPOA TERMINAIS PORTUARIOS S/A;Marcelo Moreno Munhoz ;47 - 34438642;;marcelo.munhoz@portoitapoa.com;
;PORTO ALEGRE;TMSA - TECNOLOGIA EM MOVIMENTACAO S A;Dejair Mairtins Silva;51 - 980530481 / 51 21313369;;Dejair.silva@tmsa.ind.br ;
;SÃO LEOPOLDO;STIHL FERRAMENTAS MOTORIZADAS LTDA;Mauricio Kist;;;mauricio.kist@stihl.com.br;
;RIO DE JANEIRO;MACNOR MARINE CONSULTORIA EMPRESARIAL LTDA;ADILES CARVALHO VIEIRA ;22 - 981884488 / 22 - 33239898;;adiles@macnor.com.br;
;BELO HORIZONTE;MRV ENGENHARIA E PARTICIPACOES AS;Tayane Nascimento Malaquias ;71 - 992049992 / ;;tayane.malaquias@mrv.com.br;
;CAXIAS DO SUL;MARCOPOLO AS;ADELAR JOAO SALVI ;54 - 21014790;;adelar.salvi@marcopolo.com.br;
;CASCAVEL;COMIL SILOS E SECADORES LTDA;EZEQUIEL GOMES GONCALVES;45 - 21015054;;Ezequiel.goncalves@comil.com.br;
;CASCAVEL;CONSILOS INDUSTRIAL LTDA;Vinicius Barbosa da Costa;4532283434;;vinicius.costa@consilos.com.br;
;CURITIBA;COONAGRO COOPERATIVA NACIONAL AGROINDUSTRIAL;Jordy Cristian Cunha Francisco / Jessé Caio do Nascimento;4132811504 / 4130730463;;"jordy.francisco@coonagro.coop.br; jesse.nascimento@coonagro.coop.br";
;NOVO HAMBURGO;Embasul - CTM INDUSTRIA E COMERCIO DE EMBALAGENS LTDA;André Luis Silva de Oliveira;5135959696;;almox2@embasul.com.br;
;FRANCA;Dandaro - DANDARO 4X4 PECAS E ACESSORIOS AUTOMOTIVOS LTDA;Alexandre Cesar Dandaro;1634027066;;dandaro4x4@gmail.com;
;SÃO PAULO;DANONE LTDA;ADRIANA ESTEVES FERREIRA MAXIMO;;;adriana.maximo@danone.com;
;AREAL;D’ANGELO - DELICIAS DE AREAL ALIMENTOS LTDA;JOÃO CARLOS HASSELMANN;2422571180;;JOAOHASSELMANN@YAHOO.COM.BR;
;PALMARES DO SUL;ELIPAL-INDUSTRIA E COMERCIO DE EQUIPAM AGRICOLAS LTDA;RAUL CAMARGO DE AZEVEDO;5136681333;;compras@elipal.com.br;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
Rede de Postos;Canoas;Comercial Buffon Combustíveis e Transportes Ltda. | MATRIZ;Alice Prado e Andrea / Anderson;51) 3415.8000 | (51) 2102.8000 | Ramal: 284;;"aliceprado@buffon.com.br; info@buffon.com.br";
;Caxias do Sul;Postos Rodeio ;Renato;(54) 3027.2000;"Rua Sinimbú, 612 Bairro Nossa Senhora de Lourdes
CEP: 95020-001  Caxias do Sul - RS";renato@postosrodeio.com.br;
;Caxias do Sul;Rede Capoani Comércio de Combustíveis;Isabel;(54) 3229.3477;Capoani | BR 116 | Km 143 | Nº 12495 São Ciro RS, 95059-520;isabel@capoani.com;
;Farroupilha;Posto Cavalleri (Matriz);Michele - Telefone Catia; (54) 3259 2000;RST 453, Km 109, Rio Burati - Farroupilha - RS;michele@postocavalleri.com.br;
;Flores da Cunha;SIM - Rede de Postos;Aislan Veadrigo / Luis;(54) 3292 - 9999;;"aislan.veadrigo@simrede.com.br; compras01@simrede.com.br";
;Marau;Postos Tradição;Marco;(54) 3342-2885;Rua Paralela Leste Perimetral 1692 - Perimetral - Marau / RS;compras@redetradicao.com.br;
;Paraí;Rede Sander;Marcelo;(054) 3477 3500;Rua Pe. Felix Busata 1293, Centro - Paraí/RS;marcelo@redesander.com.br;
;São Leopoldo;REDE ENERGIA - SEDE;Felicio;(51) 3591-2500;Rua São Nicolau, 473 - Cristo Rei / São Leopoldo/RS - CEP: 93020-480;felicio.sup@postosredeenergia.com.br;
;São Lourenço do Sul;Postos Coqueiro - MATRIZ;João - Gerente;(53) 3251.7022 / (53) 32517027;São Lourenço do Sul/RS BR 116 KM 453 / CEP: 96170-000;joao@postoscoqueiro.com.br;
;Sapiranga;Rede Chafariz;Lucas;51-993218083;;lucas@chafariz.com.br;
;TORRES;Rede de Postos Primeiro;Maruza;(51) 3626-5259;R. José Bonifácio, 1315;maruzaprimeiro@hotmail.com;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
Frigorificos;ALEGRETE/RS;MFB MARFRIG FRIGORÍFICOS BRASIL S/A;Alisson;(55) 3421-8915 ;Endereço Est Alegrete/Itaqui, Km 07, Capivari, Alegrete, RS, CEP 97541-970, Brasil;alisson.borges@marfrig.com.br;
;ALEGRETE-RS;MARFRIG GLOBAL FOODS S.A.;Danilo;(55) 3421-8900;;danilo.silva2@marfrig.com.br;
;ALMIRANTE TAMANDARÉ-RS;AIRTON KLEIN; Jacob;(54) 3331-3714;;lolohartmann@hotmail.com;
;Augusto Pestana;Sartori Alimentos;Juliana;(55) 996821582;Rodovia RS 522, km 27, Augusto Pestana - RS, 98740-000;gerencia@sartorialimentos.com.br;
;AUGUSTO PESTANA-RS;MARCELO SARTORI;Marcelo;(55) 999329242;;marcelo@sartorialimentos.com.br;
;Bagé;FRIGORÍFICO MERCOSUL S/A (Grupo Marfrig);Roziane Guimarães;53 3240.5700;Rua Anselmo Garrastazu, s/n / 96400-970 / Bairro Industrial;roziane.guimaraes@marfrig.com.br;
;BAGÉ-RS;MARFRIG GLOBAL FOODS S.A.;José Aguilar;(53) 3240-5700 (53) 3240-5766;;jose.aguilar@marfrig.com.br;
;BAGÉ-RS;MATADOURO FRIGORÍFICO PRODUCARNE LTDA;Edson;(53) 999789773;;"edson@producarne.com.br; edsonendres@terra.com.br";
;Bom Princípio;Mercoaves;Elisiane - 51 993871392;(51) 3634 2608;Rua Mercoaves, 1156, Bairro Bom Fim Baixo CEP 95765-000 Bom Princípio - RS;compras@mercoaves.com.br;
;Canguçu;Frigorifico Fita Azul;Roberta;53 32524177;;frigorificofitazul@bol.com.br;
;Caxias do Sul;FRIGORÍFICO BRAVO LTDA (RS);Edite Menegat; (54) 32834010;;frigocristaldir@gmail.com;
;CAXIAS DO SUL-RS;FRIGORÍFICO CRISTAL LTDA;Edite - frigorificocristaldir@gmail.com;(54) 3283-1428;;;voltou
;CONDOR;COTRIPAL AGROPECUÁRIA COOP FRIGORÍFICO (CONDOR/RS);Leandro; (55) 3375 9000;BR 158 Km 142 - Condor/RS - CEP 98290-000;leandror@cotripal.com.br ;
;CONDOR-RS;COTRIPAL AGROPECUÁRIA COOP.;Cléber;(55) 3375-9047;;cleber@cotripal.com.br;
;Cruzeiro do Sul;Ovos Primavis - Cruzeiro do Sul - RS;;(51) 3764.1866;Estrada Geral de São Gabriel – Caixa Postal 29 Cidade: Cruzeiro do Sul Cep: 95930-000; jubawilgen@hotmail.com;
;CRUZEIRO DO SUL-RS;FAROS INDÚSTRIA DE FARINHA E OSSOS LTDA;Daniel;(51) 3714-9800;;robinson@faros.ind.br;
;Dois Irmãos;ALLES IND E COM DE CARNES E DERIV LTDA  (DOIS IRMÃOS/RS) - 6516;Priscilla Alles; (51) 3564 - 1895;;priscilla@allesalimentos.com.br;http://www.sicadergs.com.br/sicadrs
;Encantado;Cooperativa dos Suinocultores de Encantado Ltda (COSUEL - DÁLIA);Ledi;(51) 3751 - 9000;;dalia@dalia.com.br;
;Erechim;FRIGORÍFICO AS LTDA;Verena; (54) 3321-2671;;frigoas@gmail.com;
;Erechim;FRIGORÍFICO AURORA ;Fabio Zanella  / Karine Cence ;(54) 3522-7063;"Rua Itália, 1526 - Sala 02 - Bairro Três Vendas
CEP: 99700-000 Erechim - RS";"karine-cence@auroraalimentos.com.br; ";
;Erechim;FRIGORÍFICO AURORA ;Luiz;(54) 3520 3900 ;Av. Jose Oscar Salazar, 1274 CEP: 99700-000 Erechim - RS;;
;Farroupilha;FRIGOFAR IND DE ALIMENTOS LTDA;Muricio;(54)3261 9675;RODOVIA RST 453, 0 KM 109 RIO BURATI, FARROUPILHA - RS;"mauricio@frigofar.com.br; direcao@frigofar.com.br; alvaro@frigofar.com.br";
;FARROUPILHA-RS;FRIGOFAR IND DE ALIMENTOS LTDA;Alvaro;(54) 3261-9679;direcao@frigofar.com.br;;
;Garibalde;Carrer Alimentosclose;Daniel; (54) 3056.7600 / (54) 3462.2095 /;Estrada VRS 813, KM 12,9 - S/N Nova Sardenha - Farroupilha;compras@carreralimentos.com.br;
;Garibalde ;Frigorífico Chesini;Rosele;(54) 3462.1384;Vila Rica, s/n 3º Distrito - 95180 - 000 Farroupilha.;"diretoria@chesini.com.br; compras@chesini.com.br";
;Garibaldi;Frigorífico Nicolini ;Renata Dal Fre ;(54) 3462 8858 (54) 3462.8800;Estrada São Roque KM3 ;renata.dalfre@nicolini.com.br;
;Garibaldi;Frinal S/A - Frigorífico e Integração Avícola - JBS Foods; Ana Kayser ; (54) 3388 - 1588 ;;;
;HARMONIA;COOP. SUINOCULTORES DO CAÍ SUPERIOR LTDA. (HARMONIA/RS);Alvaro;51 3695.1155;RUA 25 DE JULHO, 112 - CENTRO  - HARMONIA - RS    CEP 95785-000;compras.ourodosul@gmail.com;
;HARMONIA-RS;COOP. SUINOCULTORES DO CAÍ SUPERIOR LTDA;Ronei;(51) 3695-1155;;ronei@ourodosul.com.br;
;HULHA NEGRA;MFB MARFRIG -PAMPEANO ALIMENTOS S/A;;(53) 3249-1500 / (53) 3249-1502;Estr. Santo Antônio, 5147, Hulha Negra - RS, 96460-000;gustavo.alves@marfrig.com.br;
;HULHA NEGRA-RS;PAMPEANO ALIMENTOS S/A;Rui;(53) 3249-1500;;rui.mendonca@pampeano.com.br;
;IBIAÇA-RS;RENATO TELLES & CIA LTDA;Cassio;(54) 3374-1257;;irmaosdametto@gmail.com;
;LAGOA VERMELHA-RS;ZANIN COMÉRCIO DE PROD. ALIM. LTDA;Renan;(54) 996248369;;atual.fiscal@terra.com.br;
;Lindolfo Collor;Frigorifico Madu;;51 996776663;;;
;Marau;Abate e Distribuição de Carnes Rodeio LTDA.;Ronaldo;54 991559681;RS 324 Km 77 Interior - Marau - RS;;
;Mato Leitão;FRIGORÍFICO MERCOSUL S/A- Frigorifico Reiter;;(51) 3784-4800  (51) 3784-4848;Rua João Reiter, 650 / 95835-000;;
;Montenegro;DOUX FRANGOSUL S/A AGRO AVÍCOLA INDL;;(51) 3649-5666 (51) 3649-5884;Rua Buarque de Macedo, 3620 / 95780-000;;
;Morro Reuter;Nutrifrango;Cristiano Bohn;(51) 35691099 - Ramal 206;BR 116 - KM 210, 1087 Picada São Paulo;compras@nutrifrango.com.br;
;Morro Reuter;Granja Filippsen Ltda; Celso - 51-999761173;51-3569.1173;KM 213 – Segundo Distrito Cidade: Morro Reuter Cep: 93990-000;ovosfilippsen@filippsen.com.br ;
;NOVA BRÉSCIA-RS;AGROINDUSTRIAL NOVA BRÉSCIA LTDA;Gelson;(51) 996811437;;titton@terra.com.br;
;Nova Petrópolis;Granja Pinheiros Ltda ;Almoxarifado Matriz Jorge / Almoxarifado Frig. Adriano;(54) 3298.1080 - (54) 3298.1078;Rua da Pedreira s/n Linha Imperial CP 129 - 95150-000;"almoxarifado@granjapinheiros.com.br; almoxarifado1@granjapinheiros.com.br";
;Nova Petrópolis;Salsicharia Seefeld Ltda ( SUIBOM);Cesar;(54) 3298-8080;RS 235 - Km 14 - Linha Brasil / Nova Petrópolis - RS 95150-000 ;cesar@suibom.com.br;
;NOVA PRATA ;Agro – Avícola Moresco Ltda;; (54) 3242.1151;RS - RS 324, Km 03;" ernanimoresco@avimor.com.br; avimor@avimor.com.br  ";
;Osório;Frigorífico Borrussia;Ronaldo;(51) 3501-6383;Estr. Geral da Borrússia, 370 - Borrussia, Osório - RS, 95520-000;qualidade@frigorificoborrussia.com.br;
;Panambi;COTRIPAL Agropecuária Cooperativa ;Estevão (Compras) / Diogo Humberto Pfeifer / Maico Fagundes Gonçalves; (55) 3375 9000 (compras)/ 33759020 / 33759006;Gaspar Martins, 355 Centro CEP: 982800-000;"diogo@cotripal.com.br ; maico@cotripal.com.br ";
;PANTANO GRANDE-RS;COMESUL BEEF AGRO INDUSTRIAL EIRELI;Leonardo;(51) 3734-1402;;leonardo@comesulbeef.com.br;
;PAROBÉ;FRIGORÍFICO ZIMMER LTDA; Jaime 51 996264446 / Manutenção Jones 51 986386640;51 - 35991732;RS - 239 KM 37- Bairro Campo Vicente / Parobé/RS - CEP: 95630-000;jaime@frigorificozimmer.com.br;
;PAROBÉ-RS;FRIGORÍFICO ZIMMER LTDA;Ladislau;(51) 3599-1732 (51) 3559-2635;;ladis@frigorificozimmer.com.br;
;Passo do Sobrado;FRIGORÍFICO DO SUL LTDA (PASSO DO SOBRADO/RS);Gislaine / Davi Pedó Supervisor de Manutenção - 51999086916;51 37871282/ 51 999709822 e celular com whats: 51 980241524;;schena@frigorificodosul.com.br;
;PASSO DO SOBRADO-RS;FRIGORÍFICO DO SUL LTDA;Jorge Fetzner;(51) 3787-1282;;comercial@frigorificodosul.com.br;
;Passo Fundo;Doresul Ltda (Doresul Produtos Frigoríficos);Eder;54 3312-0008 - 054 3327-1756 Wats: (54)997106789;Rua Ângelo Covati, 1236 Bairro Leonardo Ilhia  / São José – Passo Fundo/RS /CEP: 99052-780;doresul@terra.com.br;
;PAVERAMA-RS;FRIGORÍFICO PAVERAMA LTDA;Norberto;(51) 3761-1630 (51) 3567-1108;;carnesherval@uol.com.br;
;Pelotas;Frigorifico Bonsul;Micheli;53 32736202;;recebiveisbonsul@hotmail.com;
;Pelotas;Frigorifico Famile;"Tessalia tessalha@famile.com.br; tessalia@famile.com.br";53 32743100;Av. Alfredo Theodoro Born, 10517-10465 - Vila Princesa, Pelotas - RS, 96070-380;;
;Pelotas;Castro Alimentos;Luis Fernando;53 32736565;Av. Fernando Osório - Centro, Pelotas - RS;manutencao@frigorificocastro.com.br;
;Pelotas;Extremo Sul;Antonio;41 996563077;;;
;Pelotas;Danby Cosulati;João Ortiz?? Cassia - Loja;(53) 3221 - 0299;"administracao@cosulati.com.br; ";lojadeprodutos@cosulati.com.br;
;PELOTAS/RS;SOPELCO CONS. EXP. IMP. LTDA;CLEUSA;(53) 3275-6400;;cleusa@sopelco.com.br;
;PELOTAS/RS;YORK BEEF FOODS ABATE DE ANIMAIS E COM DE CARNES E DERIV LTDA;ARIEL;(53) 3011-4010;;ariel@yorkfoods.com.br;
;PONTÃO-RS;Cooperativa de Produção Agropecuária Cascata;Mário Luis Lill - 54 8407-6864;(51) 3503-0195;;coopcascata@yahoo.com.br;
;PORTO ALEGRE-RS;CANARIN CARNES E ALIMENTOS LTDA;Vilmar;(51) 3342-8125;;canarin@canarin.com.br;
;PUTINGA-RS;FRIGORÍFICO CASON LTDA;Gemiro;(51) 3777-1144;;fricason@hotmail.com;
;Salvador do Sul;Granja Avícola Petry;Liege;(51) 3645-1870;Estr. Linha São João, Salvador do Sul - RS, 95750-000;contato@granjapetry.com.br;
;Salvador do Sul;Granja Canarinho Ltda;Vai me ligar;51-3638-2011;BR 470 - Km 258, Salvador do Sul - RS, 95750-000;egon@granjacanarinho.com;
;Salvador do Sul;Naturovos - ( Solar Comércio e Agroindustria Ltda);Mabel;(51) 3638 5500;Av. Duque de Caxias, 385 • 95750-000 • Salvador do Sul/RS;"suprimentos@naturovos.com.br; anderson.guth@lojasolar.com.br";
;Santa Cruz do Sul;FRIGORÍFICO GASSEN LTDA.;Jessica;(51) 3717-9861;Linha Nova;compras@frigorificogassen.com.br;
;Santa Maria;FRIGORÍFICO SILVA IND. E COM. LTDA. (/RS);Gianice;(55) 2103 - 2525 / (55) 2103 - 2505; BR 392, Km 08, Passo das Tropas | Santa Maria - RS;compras@frigorificosilva.com.br;
;SANTA MARIA;FRIGORÍFICO NOVA ESTÂNCIA LTDA;Juliana;55 3211-1714;;frigorificonovaestancia@hotmail.com;
;Santa Maria do Herval ;Frigorifico Boa Vista;Luiza;51 3567 1151;Rua Helmuth Schneider, nº 100 - Santa Maria do Herval - RS, CEP: 93995-000;compras@frigorificoboavista.com.br;
;SANTA MARIA-RS;FRIGORÍFICO SILVA IND. E COM. LTDA;Cleber;(55) 2103-2525;;clebers@frigorificosilva.com.br;
;SANTO ÂNGELO-RS;CALLEGARO E IRMÃOS LTDA;Paulo Renato;(55) 3313-2810 (55) 3313-6076;;paulorenato@frigorificocallegaro.com.br;
;SANTO CRISTO - RS;ABATEDOURO GALLAS LTDA;Maiquel;(55) 3541-1236;;abatedourogallas@gmail.com;
;São Gabriel;MARFRIG ALIMENTOS S/A;Luiz Leonardi;(55) 3237-2900;R Santa Brigida, 120, Santa Brigida, ;luiz.leonardi@marfrig.com.br;
;SÃO GABRIEL-RS;FRIGORÍFICO FORESTA LTDA;Gustavo;(55) 3232-5510;;gerenciaadm@foresta.com.br;
;SÃO GABRIEL-RS;MARFRIG GLOBAL FOODS S.A.;Danilo;(55) 3237-2900;;danilo.silva2@marfrig.com.br;
;SÃO GABRIEL-RS;RAPHAEL VANHOVE & FILHOS LTDA;Ludwig;(55) 3232-6080 (55) 3232-5733;;vanhove@terra.com.br;
;São Jeronimo;Frigozatto - Frigorifico Frigozatto Eireli;Roger Ferasso;(51) 3027-3571 / 99391480;compras01@frigozatto.com.br ;;
;SÃO JERÔNIMO - RS;FRIGORÍFICO E TRANSP. IRMÃOS KROTH LTDA;Djéssica;(51) 998299593;;"compras@frigorifico3k.com.br; financeiro@frigorifico3k.com.br";
;SÃO JOSÉ DO OURO;FRIGORIFICO POCA - MENDES & MALDANER LTDA. ;Claudia; (54) 3352-1526 ;Linha São Paulo - São José do Ouro - RS - CEP: 99870-000;;
;SÃO JOSÉ DO OURO-RS;MENDES & MALDANER LTDA;Claudia;(54) 3352-1526;;frigorificopoca@outlook.com;
;São Leopoldo;FRIGORÍFICO SÃO LEOPOLDO LTDA.;Maicon;(51) 3588-7010;Estr. Ivo Afonso Dias, 601 - São Borja, São Leopoldo - RS, 93032-550;frigcantarelli@yahoo.com.br;
;SÃO LEOPOLDO;FRIGORÍFICO SÃO LEOPOLDO LTDA;;(51) 3588-7010;cooperleo@sinos.net;;
;SÃO LEOPOLDO-RS;QUANTO ALIMENTOS IND. E COM. LTDA;Eduardo;(51) 3589-6500;;quanto@quantoalimentos.com.br;
;São Lourenço do Sul;FRIGORÍFICO COQUEIRO LTDA;Elber;53 3251-7000;Localidade de Coqueiro, s/nº, 5º Distrito, São Lourenço do Sul - RS;compras@frigorificocoqueiro.com.br;
;SÃO MARCOS;FRIGORÍFICO BOI NA BRASA LTDA;Patrícia 54 99237015;(54) 3291-3454;;patricia_michelon@hotmail.com;
;São Sebastião do Cai;AGROSUL AGROAVÍCOLA INDL S/A;Luiz Alberto Ludwig;(51) 3635-6700;Rua Campestre Santa Teresinha, 1000 / 95760-000 / Campestre;compras@agrosul.com.br;
;Sapiranga;Frigorífico CarneiroSul;Humberto (Beto);51 3106-2596 / 51 981589825;"industria@carneirosul.com.br; frigo.carneiro@gmail.com";;
;SAPIRANGA-RS;COMERCIAL DE CARNES CARNEIRO SUL LTDA.;João Bernardo;(51) 3496-6121;;carneirosul01@gmail.com;
;Sarandi;FRIGORÍFICO AURORA SARANDI;Rafael Paludo; (54) 3361-5500 ;Rodovia RS 404 Km - 2,1, , 99560-000, Sarandi - RS;rafael-paludo@auroraalimentos.com.br;
;Seberi; Adelle - Labema Alimentos Ltda. ;;(55) 3746 - 2800 ramal 2885;Rod. BR 386 S/N 52 CEP: 98380-000 Seberi/RS;;
;SELBACH;FRIGORÍFICO STOCK BOI;LUIS FERNANDO;(54) 3387-1141;;frigorificostockboi@gmail.com;
;STA CRUZ DO SUL-RS;FRIGORÍFICO GASSEN LTDA;Fernando;(51) 3717-9861;fernandogassen@frigorificogassen.com.br;;
;STA VITÓRIA DO PALMAR - RS;FRIGORÍFICO PAMPA SUL LTDA;Luciano;(53) 999764410;;pampasulfrigorifico@gmail.com;
;STA VITÓRIA PALMAR-RS;FRIGORÍFICO PAMPA SUL LTDA;Luciano Oliveira;(53) 3263-3001 (53) 999996607 (53) 999455156;;pampasulfrigorifico@gmail.com;
;STA. MARIA DO HERVAL-RS;FRIGORÍFICO E DIST. DE CARNES BOA VISTA LTDA;Edson;(51) 3181-0757;;contabilidade@frigorificoboavista.com.br;
;Taquara;Matadouro Frigorifico Santo André;Marian;(51)35421173;Sem interesse;;
;Teotonia;Lactalis do Brasil;Wanderlei Scholz; (51) 3762 5700;wanderleischolz@lactalis.com.br;;
;Teutônia;Frigorífico Frigovale;Cesar;(51) 3773.1105 / (51) 98340-0236;ESTRADA LINHA CLARA , S/N - Linha Clara, Teutônia - RS, 95890-000;compras@frigovale.com;
;TIO HUGO-RS;ÓLEOS BRASIL SUL IND. E COM. DE ÓLEOS;Adélio;(54) 3195-0066;;administrativo@oleosbrasilsul.com.br;
;VACARIA-RS;APEBRUN COM. DE CARNES LTDA;Bruna Pasquali;(54) 3232-8585;;brunapasquali@apebrun.com.br;
;Venâncio Aires;Frigorifico Sape - 1887;Sr. Antonio;(51) 980324811;;"antonio@frigorificosape.com.br; chico@frigorificosape.com.br";
;VENÂNCIO AIRES-RS;FAMÍLIA KROTH IND E COM DE CARNES LTDA;Fábio;(51) 3793-4100;;fabio@frigorificokroth.com.br;
;VENÂNCIO AIRES-RS;FRIGORÍFICO SAPÉ LTDA;Chico;(51) 3501-5984 (51) 3501-5965;;chico@frigorificosape.com.br;
;VENÂNCIO AIRES-RS;Frigorífico Santos (Orlando Dos Santos & Filhos Ltda);Juliana Breunig;(51) 3741-1272;;julianabreunig@gmail.com;
;VENÂNCIO AIRES-RS;NERI DO NASCIMENTO EIRELLI;Silvia;(51) 3749-0030;;silvia@opcaors.com;
;WESTFALIA-RS;FRIGORÍFICO ANGUS LTDA;Marcos;(51) 99642067;;frigorificoangus@gmail.com;
;Arroio do Meio;Sulati;Liselena M. Bersch Neumann 51 98511687;51 3716 1394;Rua Arthur José Schroeder, 932 São Caetano · Arroio do Meio/RS CEP 95940-000;sulati@sulati.com.br;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;Itaberai - GO;São Salvador Alimentos S/A;Caio Moura caio.moura@ssa-br.com;62 33757000;"Rod. GO-156, km 0, Zona Rural, Itaberaí – GO.
CEP: 76.630-000.";;Voltou
;Santa Fé de Goiás - GO;Frigorifico MataBoi LTDA;Eng. André Silveira;(62) 3385-8500;Rodovia GO 173 km 14,5 - ZONA RURAL, Santa Fé de Goiás - GO, 76265-000;andre.silveira@primafoods.com.br;
;Uberlândia;Abatedouro Sadia - Perdigão (BRF);;(34) 3301-9884;R. Francisco Bernardes de Assis, 200 - Jardim Brasilia, Uberlândia - MG, 38401-360;;
;Uberlândia;Fiel Distribuidora de Carnes Suínas;;(34) 3225-2459;Av. Pau Furado, km 6.8, Uberlândia - MG;;
;Uberlândia;Fricopa Industria e Comercio de Carne Suina;Elcione;(34) 3211-1521;R: Republica do Piratini, 299 - Marta Helena, Uberlândia - MG, 38402-028;fricopa@uol.com.br;
;Uberlândia;Frigorífico Confiança;Compras - Moacir;(34) 3233-4100;Rod. BR 050 , km 81 - São Jorge, MG, 38410-337;compras@frigconfianca.com.br;
;Uberlândia;Frigorífico Luciana;Fernando;(34) 3228-2950;R. Prof. Leônidas Castro Serra, 150 - Pres. Roosevelt, Uberlândia - MG, 38401-224;abate@frigorificoluciana.com.br;
;Uberlândia;Frigorífico Sadia (BRF);;(34) 3301-9000;Av. Cel. José Teófilo Carneiro, 1001 - São José, Uberlândia - MG, 38401-344;;
;Uberlândia;Frigorífico São Pedro - Escritório;Marcos; (34) 3014-2051;Av. Floriano Peixoto, 3057 - Brasil, Uberlândia - MG, 38400-704;nubia.frigorificosaopedro@gmail.com;
;Uberlândia;Incubatório Diamante Sadia (BRF);Carlos Antonio;(34) 33019947-33019901-32389400;Av. José Fonseca e Sílva, 848 - Jardim Patricia, Uberlândia - MG, 38414-068;carlos.antonio@brf.com;
;Uberlândia;JBS Couros Uberlândia;Eduardo Moura;(34) 3218-0800;R. Décio Spirandeli Carvalho, 205 - Distrito Industrial, Uberlândia - MG, 38402-342;eduardo.moura@umg.jbs.com.br;
;Uberlândia;Prima Foods S.A;Fabricio Bueno;(34) 3221-2700;Av. Rondon Pacheco, 3927 - Cazeca, Uberlândia - MG, 38400-015;fabricio.bueno@primafoods.com.br;
;Uberlândia;Vita Carnes;Cleomar;(34) 91961510;Av. Cesário Alvim, 1751 - Nossa Sra. Aparecida, Uberlândia - MG, 38400-694;Via Whats;
;;;;;;;
;;;;;;;
;Abelardo Luz - SC;Frigorífico Aurora Abelardo Luz;;(49) 3445-8300;Abelardo Luz - SC, 89830-000;auroraalimentos.com.br;
;Água Doce - SC;Frigorífico Dri;Rafael;(49) 3524-0347;Linha Nova Vicenza S/N INTERIOR, Água Doce - SC, 89654-000;cocomercial@frigorificodri.com.br;
;Arabutã  - SC;Frigorifico Arabutã;Klaus; (49) 3448-0506;Tv. Z, 307, Arabutã - SC, 89740-000;gerencia.klaus@frigorificoarabuta.com.br;
;Chapecó - SC;Aurora Alimentos;Fabio Possa - Manutenção;(49) 3321-3700;283,, Estr. Chapecó, Guatambú - SC;fabio-possa@auroraalimentos.com.br;
;Chapecó - SC;Aurora Alimentos - Fábrica de Ração Chapecó;Emerson Taz emerson-taz@auroraalimentos.com.br- Manutenção;(49) 3321-3000;R. João Martins, 219 D - São Cristóvão, Chapecó - SC, 89803-901;;Voltou
;Chapecó - SC;Aurora Alimentos - Frigorífico Chapecó II;Silvio Mezomo;(49) 3321-2071;R. Barão do Rio Branco, 1272 E - Saic, Chapecó - SC, 89802-025;silvio-mezomo@auroraalimentos.com.br;
;Chapecó - SC;Bugio Agropecuária - Frigorifico EcoFrigo;Compras - ;(49) 2049-0400;Av. São Pedro, 130 D - Centro, Chapecó - SC, 89801-300;;
;Chapecó - SC;Carraro Alimentos;Lili;(49) 3328-0057;Chapecó - SC;contato@carraroalimentos.com.br;
